Dataset-Quantity-metrics,ATrans,ARIMA,AE,CALF (few),CALF (full),Chronos (few),Chronos (full),Chronos (zero),ConAD,DAGMM,DC,DLin,DWT,Dada (few),Dada (full),Dada (zero),DP,DualTF,EIF,GPT4TS (few),GPT4TS (full),IF,KMeans,LLMMixer (few),LLMMixer (full),LSTM,LSTi,Modern,Moment (few),Moment (full),Moment (zero),NLin,Patch,SAND,SARIMA,S2G,SR,Stat,Timer (few),Timer (full),Timer (zero),TimesFM (few),TimesFM (full),TimesFM (zero),TsNet,TTM (few),TTM (full),TTM (zero),Torsk,TranAD,UniTS (few),UniTS (full),UniTS (zero),UniTime (few),UniTime (full),VAE,ZMS,CBLOF,HBOS,iTrans,KNN,LODA,LOF,OCSVM,PCA
contact-text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movement/OPP-96-P,0.1889204653101435,0.0410900574835001,0.01546849245594,0.0066234913158669,0.0076088883836371,0.0145400019589809,0.0215196537723642,0.019059252710668,0.1010526315789473,0.0205084745762711,0.072811181434599,0.0126743529791179,0.2177672558922558,0.1721440690397703,0.1435183574038628,0.0406440118772681,0.0410929737402413,0.2,0.2212834761169853,0.0048633548374116,0.0056882224962993,0.0040815801325354,0.0089954274000476,0.0086766005151392,0.0109538582416857,0.0123475964898655,0.7371141030871753,0.0052219629693349,0.0183052705752015,0.0194563155458667,0.0148597818491173,0.0186210672743954,0.0082556866876024,0.2745164188986805,0.0410900574835001,0.4037718700295386,0.014939309056956,0.0063059965618363,0.0233107612933485,0.0143121965573046,0.024607736523225,0.0130674936026332,0.0091302841302841,0.018118228675257,0.007555749527194,0.0358352048894744,0.021215343185112,0.036760466384097,0.085109529229094,0.2174724584743791,0.0073053431582356,0.0075301891091364,0.0076966510803358,0.0100316605892752,0.0077190276900841,0.0172865532299352,0.0029948026408202,0.0471753131722052,0.0426224866236919,0.005250059179926,0.0826513719535967,0.0110727305615851,0.0840867999568158,0.0587899997904398,0.121629420875427
Movement/OPP-96-R,0.4025874847546674,1.0,0.0062129784577787,0.0327310117163189,0.0416030783037365,0.05332034526612,0.064428254672157,0.0650154798761609,0.0398936170212766,0.0170410944404751,0.1057653496930634,0.0457469865447146,0.7371821305841921,0.3448921700934082,0.2910522648083622,0.325744381290087,1.0,0.1220642868680342,0.9495080569009108,0.0272882672882672,0.0265877421060071,0.0015151515151515,0.0363338788870703,0.0388962602584892,0.047572206764118,0.0062635990725878,0.6196066626530203,0.0453515323203708,0.0557275541795665,0.0590357355063237,0.0440944881889763,0.038166278166278,0.0319502719502719,0.7141843971631205,1.0,0.0763602231840225,0.0028588815444339,0.0018251515534467,0.050531678896175,0.0547818744722768,0.0507086614173227,0.0434938202384143,0.0477930258717659,0.0642888818498573,0.0213982683982683,0.0682348685540412,0.0539951394964517,0.0681255277230509,0.1195503512880561,0.8234042553191487,0.0393700787401574,0.0428036268193747,0.0431058167428699,0.0444857404281093,0.0443664996420901,0.0065676928157466,0.0014430014430014,0.8576750486834307,0.3151736496718827,0.0397202797202796,0.934285911697644,0.035420041435459,0.8504336889582791,0.9626704354263408,0.9267309526405888
Movement/OPP-96-R-A-P,0.1189569170704444,0.1577316399774481,0.2193049290924559,0.0590230393915091,0.0605046468593316,0.0747533321992222,0.0747533321992222,0.0747533321992222,0.0886585544494284,0.1590652307867482,0.0876047370886135,0.0706614089138821,0.5057910949928117,0.1609831759140151,0.1615963139030381,0.0726995858789295,0.0601517680336296,0.0862540369268779,0.2473190763436676,0.0571000587560595,0.0563499461358144,0.0613351509046702,0.0708995733507568,0.066352877070791,0.0643530450754511,0.1858006321154262,0.4470233065684802,0.0565776178997779,0.0750337247880051,0.0751340079479289,0.0747328664571908,0.0658826705777184,0.0636722887807093,0.1189383452444241,0.1724676972860504,0.1161763714959232,0.0767237376415317,0.3226546524204792,0.0676863682713903,0.0664584045515837,0.0675245898950543,0.0660147678089997,0.0653289322779623,0.0702031777470307,0.06193489893676,0.0831528398878922,0.071302871975149,0.0833646978894223,0.1233687626933874,0.20940330305765,0.0624882858380486,0.062806519554924,0.061221617749186,0.0635851757176379,0.0630246910393128,0.2350117825537623,0.0776450189593951,0.0782936132954947,0.1226406494664509,0.0599420860400777,0.102306892855031,0.165172113669353,0.1173551558303604,0.151884250005904,0.2307222392984354
Movement/OPP-96-R-A-R,0.7080717227114439,0.8888732677717395,0.9258501711824636,0.5881730083067398,0.5960600209716644,0.6338436775695117,0.6338436775695117,0.6338436775695117,0.6230109192726541,0.8866414724143906,0.6117182895364469,0.6426679258524421,0.987221966649082,0.8825813127638937,0.8641641148544058,0.7841367144483189,0.595902875481056,0.6910997506148474,0.9329538681317948,0.5787824213096546,0.5786497252993674,0.6094359383863439,0.6596645783109248,0.6043467962577246,0.6104649649707912,0.91277396071282,0.8848179223306754,0.5879843912871181,0.7243990251240727,0.7355878319786033,0.7241579143542606,0.6129334005459641,0.6007958621608165,0.8019081762668562,0.8965878091883186,0.8279783707753279,0.6307591482883091,0.9308552251377148,0.6116875705131807,0.6094279543727524,0.6110618139211896,0.6153229733151084,0.6086159542347869,0.6127914359313096,0.5994170760564979,0.7088244388781975,0.6718468455792531,0.7168000325291984,0.8042233311766396,0.9214461732346912,0.6004584485918047,0.59747439258268,0.6007449758522649,0.5956908022542636,0.5975520698307581,0.9268059240642592,0.8192783735744739,0.78516454532267,0.8407752245276042,0.6029980318785548,0.8452323472370545,0.8679106496590749,0.8051630443559473,0.8602683651664679,0.9266146916632728
Movement/OPP-96-R-F1,0.127114025412472,0.0549299642955232,0.027254496985289,0.0160104933111044,0.0169887161475129,0.018769872012774,0.0207795947307386,0.0207311452486579,0.1215236570786419,0.0369886372630531,0.1039900173933067,0.02569497270446,0.1779127441662362,0.1521971767033889,0.1586191225639572,0.050705202253928,0.0770509665220302,0.062099275282692,0.0760865639680221,0.0148703603269088,0.0165370184747029,0.0080009788264866,0.0278366967246799,0.0174107288008114,0.0219302723295298,0.023133142675564,0.3091293131614046,0.0145931533876596,0.0313348104971115,0.0337761573847004,0.0289231558137696,0.0331185581229749,0.0198013596135033,0.1865058709142478,0.0549299642955232,0.2993511921056745,0.0274933909170996,0.0121342276894171,0.0345280669190758,0.0231233309636695,0.0375402382739369,0.0206428171038447,0.0195146046724539,0.0217151339014467,0.0166003504308171,0.032637790409205,0.0262097989144986,0.0326870239883624,0.1101784829636518,0.0529518209200103,0.0157879814068084,0.0179932187018028,0.0167772621708883,0.0227578474041018,0.0167743790182652,0.0317296914016869,0.0059017505800924,0.022146440701373,0.0217500686008609,0.0144270637320138,0.0390989207775371,0.0190303924597875,0.0755640357042226,0.0430283225883374,0.0350223520593073
Movement/OPP-96-R-P,0.0939402264281892,0.0282406099971759,0.01546849245594,0.0083455612619222,0.0090180412290252,0.0098077619939829,0.0111682605324372,0.0109638980330276,0.0925619834710742,0.0205084745762711,0.07,0.0137647808539262,0.1092283208500791,0.1266666666666665,0.1299450641843924,0.0289094260814178,0.0401920088550378,0.0405956977385548,0.048353390269151,0.0077133153919009,0.0086331381390692,0.0040815801325354,0.0148527610822692,0.0092414191097623,0.0116691894867207,0.0123475964898655,0.5751515151515151,0.0075655427825559,0.0170797987587675,0.0184842400267931,0.0162815394433,0.0198045048873777,0.0104016804409554,0.1666666666666666,0.0282406099971759,0.5,0.014939309056956,0.0063059965618363,0.0188132479127497,0.0122235522153685,0.0210706384730153,0.0108883440573069,0.0102416119487381,0.0114281452755611,0.0086630426041917,0.0180714461013462,0.014561088089339,0.0183916083916083,0.075332188110235,0.0303183736095128,0.0085509046676679,0.0095238095238095,0.0087452605231681,0.0121262786596119,0.0088341724354939,0.0172865532299352,0.0029948026408202,0.011918667890204,0.0115102171136653,0.0076587599552707,0.0214609045596626,0.00999360026314,0.0460785145988671,0.023995417423913,0.0191120698838819
Movement/OPP-96-R-R,0.2233012092826333,1.0,0.2013675213675213,0.2025492087764592,0.2024253331969867,0.2120669966405265,0.2148970919001878,0.2144994840041279,0.2022662889518413,0.2021505376344086,0.2073941176550198,0.2055055269794061,0.6446114961271912,0.20451083729074,0.2043492304202099,0.2058199406261023,1.0,0.2096969696969697,0.3966199359635891,0.2045997346306944,0.2041076446773041,0.1008948545861297,0.2179702149204741,0.2060439849251449,0.204035018480655,0.201389358719664,0.2428403314125167,0.2028867176854793,0.2042416258339224,0.2038827717525583,0.2035492485833948,0.2030997150997151,0.2030326074432538,0.5258759788450974,1.0,0.2407982261640798,0.201259842519685,0.101159420289855,0.2096317280453258,0.2083676427628934,0.2096969696969697,0.2075213675213675,0.2068361949336946,0.212549019607843,0.203109083177282,0.2176362181501725,0.2093800085628033,0.2183787599164765,0.2499487179487178,0.2777266439129167,0.2034323891623188,0.2037776241142661,0.2035346685950778,0.2030174976011754,0.2042471208126847,0.2014767081282349,0.1008908685968819,0.2651778465772273,0.2462697289704371,0.2025844769403824,0.295247311827957,0.20926536353759,0.2370234182741922,0.310287887017925,0.5875301114318349
Movement/OPP-96-V-PR,0.1196952943048066,0.1532389701423415,0.2197285689982284,0.0582302099033314,0.0612877051017898,0.0708626769428882,0.0708626769428882,0.0708626769428882,0.0881827466193534,0.1522000962269852,0.0874967216814981,0.0683641542907601,0.4777382638765511,0.1577273811369894,0.1601506105781852,0.0721760161504402,0.0603964280609826,0.0833838846681684,0.2361672588181774,0.0573385070445467,0.0562902890188063,0.058812919277169,0.0710221781064857,0.065217010337426,0.0617067753389796,0.1817421367735062,0.447807527535581,0.05621503576955,0.0734294814541709,0.0738936934972719,0.0727453907456931,0.0640022710458244,0.0630680002185915,0.120607115347199,0.1720125303415151,0.112827323631663,0.0768395638221929,0.3220011426006567,0.0656660853363064,0.0645023501066735,0.0653254456169027,0.0651061958759597,0.0636421150665281,0.0666611494961877,0.0621327396037481,0.0775014281752626,0.0695542586817819,0.0790900922550704,0.1196887591378696,0.2070328270315248,0.0608160676240074,0.0612384002898589,0.0600560757584853,0.0624573927441261,0.0608748788732111,0.2359543395616658,0.0773553845607049,0.0759730030203247,0.1195622983926273,0.0592903668802737,0.0977358085304873,0.1638949133996552,0.1184115641590681,0.1541297615821832,0.2348861597174938
Movement/OPP-96-V-ROC,0.7205293301008672,0.8907581820193998,0.9267101235664728,0.550321115028668,0.5583930946251413,0.5994255816060643,0.5994255816060643,0.5994255816060643,0.6117372227090547,0.8827633913548745,0.6099134022692024,0.6058737647337447,0.9852990465567384,0.8716051299862304,0.8608139141828997,0.7754839456327077,0.5610446015380713,0.664229744556179,0.9290221895775578,0.5403076914342979,0.5419549479981166,0.5701253790892407,0.6364117613087446,0.5641105503886052,0.5670802129385774,0.9118252658267364,0.8842340893017641,0.5520807377583764,0.700499355143485,0.7136334595160193,0.7003700629394229,0.5751976036053299,0.5615571603002762,0.8055231613323366,0.8895320079968646,0.811745248041326,0.6210575229837639,0.9312246450241768,0.5696483187319307,0.5698293389036995,0.5679707971347361,0.5817392673530951,0.5657294522249705,0.5736620756335045,0.5630400423200476,0.6877912825874428,0.6422362730985541,0.6972706655119485,0.7599052894785845,0.918740978334054,0.5629602107626661,0.5592035648388142,0.5637979960999824,0.557912843214146,0.5598091299168979,0.9253329865847728,0.8143685075272024,0.7785867762829721,0.837503135118815,0.5657449940780015,0.8440093646070608,0.8679932459677862,0.7974567813012436,0.8563770291024521,0.9248039952003404
Multiple/KDD21-96-A-P,0.0219630342240334,0.0249068774179694,0.0404358985160793,0.0498830960762471,0.1137499953390699,0.0258732225101121,0.0185568007101863,0.0258732225101121,0.0152338082150943,0.0241773712492653,0.0207900701496034,0.032652523511839,0.6980677220961718,0.0315600598051807,0.0324274808603186,0.0271204892312027,0.0580245993418774,0.043459203406153,0.0332691042462578,0.0294150984637957,0.0286317144538839,0.1082643368850833,0.6113036597552246,0.0088135546372949,0.0350737327116935,0.0492686990860024,0.1990940586645048,0.0321440531268433,0.0312297831084224,0.0292285229503552,0.0278114008752014,0.0247992633624862,0.032240792181017,0.057681588278155,0.0268062332140708,0.0980510887324946,0.0430770233710915,0.0381446105983727,0.0297299217544657,0.030934335419503,0.0302958998862921,0.0270592519495614,0.0323711234984696,0.0280065657500275,0.0394050367250571,0.0335059917131827,0.0297911773796914,0.0317614082057622,0.2054412510156044,0.0359594170584878,0.0280966644444248,0.0267226118312521,0.029099195947052,0.0301753294375429,0.0423541265917982,0.036174077408529,0.0729768392159146,0.0239512545103982,0.0337860150064117,0.0571906663731493,0.0772602109977403,0.0298628568667896,0.0845798212154085,0.0393786241460117,0.0535222402577466
Multiple/KDD21-96-A-R,0.5280773480012277,0.7214753037951475,0.7128597195585543,0.7609227090076796,0.7971208765251213,0.685506792001835,0.6326002977456054,0.685506792001835,0.5138140625281428,0.6761158964092152,0.6098149653465113,0.6772750059646163,0.9972780227717112,0.6604317588992639,0.6946469818175364,0.6863047128159079,0.7134114091475597,0.7412499438522225,0.7468642601539032,0.7137761902240025,0.7163627298753611,0.8055891994182623,0.9926323971416308,0.5511168460345871,0.7407876768867924,0.7177510873201087,0.9622197539999936,0.71425618454189,0.6849687089726051,0.6876028602233644,0.7036259677419354,0.6980879471362627,0.6800329050314898,0.8928222050765328,0.7129514809578932,0.8468526520586744,0.5800416569062217,0.7184306674393302,0.7135452727980163,0.7045441125425254,0.7388238675738674,0.6973010927993223,0.709936839823739,0.6987871834894207,0.7776205430495854,0.7151520122736366,0.7165829115646092,0.7190068757312037,0.9836933235686356,0.6739243660660496,0.7140715270048231,0.6815925998198524,0.7166083200139813,0.6707790121874943,0.7636356325902425,0.6905147873228238,0.7424079939270831,0.6675527567366117,0.7282336780088973,0.7728935238915572,0.8904037117200098,0.7220088208765608,0.7763047753828196,0.752702393055438,0.713469140380879
Multiple/KDD21-96-Acc,0.9952757340890468,0.0289557136299465,0.9919180768063884,0.9952344804476356,0.9972868707310903,0.9942683333333332,0.9917480399046044,0.9945592700729928,0.983411938463866,0.990428207671693,0.9896594466628278,0.9943448659296602,0.9953019156626506,0.994919021911718,0.9954306683260734,0.9922051162790696,0.0194696292894714,0.9949537573808948,0.9932704312978352,0.99581238502285,0.9948014504297386,0.9956015320641284,0.9962597446587844,0.994069832680694,0.9952761467625832,0.991367873188056,0.994634274382979,0.995164878243513,0.994858734434083,0.995979085371081,0.994968126409386,0.9953914333135744,0.9963282026768644,0.994867712945481,0.0317364932961991,0.9968675987144904,0.9950360907655056,0.994441228445116,0.995035305049238,0.994836365444994,0.9946569913490564,0.9945302321199608,0.99459868401131,0.9948086911219316,0.995656636407043,0.9944215935795804,0.994972761010988,0.9942560791441836,0.9931539699474408,0.9943476457166563,0.9956765476190476,0.9951656252315252,0.9961241268248308,0.9958783972233411,0.9958640535372848,0.9899961712541312,0.9949361626212052,0.9081562562189056,0.94442394784368,0.9966447884697778,0.9645388711054322,0.954578043323384,0.946520232867598,0.9050832387635168,0.9227753753730676
Multiple/KDD21-96-Aff-F1,0.7477308029333392,0.6670131535082395,0.7261368624822434,0.8315335650836198,0.933475470663758,0.842055467659304,0.77376176009769,0.8429783638902866,0.7616166563395552,0.6822057369694857,0.7200527617147046,0.8087770139935132,0.9971980363718768,0.8284684449152001,0.8151263950925165,0.7375920262820317,0.6669182923356829,0.7683725065828265,0.8214699892779638,0.7948229646071967,0.7680414764155366,0.7561097040332011,0.9987470533316842,0.79986362153943,0.7686407031746371,0.7122170329777062,0.9346831695266014,0.7587274618197197,0.7889854000066836,0.7863272565634123,0.7720172611852809,0.7788451669649041,0.813049307054811,0.8770300270018675,0.666937946590135,0.9952554058278378,0.7273836342313031,0.7180608905973239,0.7904216796897965,0.8092613137877042,0.7870438627841694,0.8184308177334699,0.8216661304777261,0.832045010764235,0.7974697847491449,0.8124920722047634,0.810483144545911,0.8330099379169563,0.9646817867780692,0.8309370487023311,0.7568940221995671,0.7777875904844369,0.7620752282403992,0.7792779645328853,0.8186136677602287,0.7245812216407034,0.7172062290257171,0.6881336130905533,0.6911802931489206,0.8917900212281991,0.7075618920609957,0.6875459872504464,0.6917887538420759,0.6913049037964116,0.6983881164658605
Multiple/KDD21-96-Aff-P,0.6049358839207686,0.5003900533836775,0.5863307733646791,0.7144324589654182,0.8843624497991968,0.7670199542451633,0.6473696777450536,0.7905620607429716,0.6277331954095153,0.5202325974164583,0.5681993842034654,0.7004078759125327,0.9990454372635676,0.7202160563438398,0.7031622261430713,0.6021837897070231,0.5002831323189059,0.6333870217533343,0.7201881210443153,0.6941875621407703,0.6256429598961439,0.6163146804656637,1.0,0.6813463471497868,0.6389605103012387,0.5672931214051249,0.9067695529454612,0.6247700609640215,0.6571672487719946,0.670289117882919,0.6495590904599942,0.6431719861325902,0.717405665387621,0.8127273237163813,0.5003052530088917,0.9961641534338628,0.5760807632092191,0.6036009765539466,0.6963529605285805,0.704268589384259,0.6579562557671098,0.70857481049234,0.7135777918541113,0.7406500342022729,0.6780074056830876,0.72433856364007,0.7080786306611375,0.7541800901379058,0.9494127512714972,0.723579472169942,0.6235012128235229,0.6611315378275184,0.6204814736142359,0.6583602410799511,0.7022659264625529,0.57710564907084,0.5632928290957426,0.5256557721236969,0.530231751734155,0.8102907405059724,0.5475628346635112,0.525404303058441,0.5291066612287274,0.5286257249071297,0.5390368650944191
Multiple/KDD21-96-Aff-R,0.9994791237799724,1.0,0.9988655543876488,0.9997668912057204,0.9999088651499684,0.998753576774658,0.9981362666666668,0.9990613589516588,0.999920873446546,0.9991190544105244,0.9995229792725352,0.9995832593870064,1.0,0.9995940441380384,0.9995031252982156,0.999669314163229,1.0,0.999769580242122,0.999592384769539,0.9996787689747672,0.9996010509569724,0.9995320288864532,0.9998384064637414,0.9996719876596726,0.999738568588882,0.9992124575588612,0.9999326066066876,0.9997704772989392,0.9996204612403105,0.9996658779812052,0.9995789746930271,0.9997155115561032,0.9996432894372488,0.999688052284362,1.0,0.9991990935446818,0.999425014447199,0.998493749062664,0.999434788146718,0.999520938439808,0.999513102361838,0.9995297844890836,0.9995253658692635,0.9991318318074396,0.9996305378026208,0.9995071469979536,0.9994226083333332,0.99948630413451,0.9997590497939562,0.9994496572984816,0.9995636811897204,0.9994890005733044,0.9996269478454086,0.999639962553182,0.9997450756424666,0.9990694844256386,0.9994408498591392,0.9997815402241468,0.9996292017518248,0.9998469891259598,0.99999728378347,0.9994672686569746,0.9999782347976386,0.9998630978029548,0.9994035105627675
Multiple/KDD21-96-F1,0.0172161172161171,0.0293925672298985,0.0289203983698666,0.0700843647385702,0.0985533453887883,0.0335198725329908,0.014196813292589,0.0369265885141766,0.0244371482176359,0.0181089743589743,0.0209757875029841,0.0408163265306122,0.4516540063709874,0.0359509466437177,0.0411092436974788,0.025304488964155,0.0292467950038395,0.058591003029378,0.0495282961829475,0.0416666666666666,0.0408163265306122,0.0552577741407526,0.4440553393860786,0.0329817520845765,0.0440381128486697,0.0295023311286999,0.2200355559885051,0.0336817268737462,0.0402606120434352,0.037185473883587,0.0427278603749191,0.0325146069622427,0.0402168464639859,0.1117992031872509,0.0296037561137588,0.1939573845152893,0.0285714285714285,0.0335603829160528,0.0404489795918366,0.0467906066536203,0.0434176874411091,0.0459524394572309,0.042612775381746,0.0339655172413792,0.0509561891515993,0.0413610734872585,0.0499999999999999,0.0384520339627423,0.2886871113623512,0.0522601060636381,0.0389622786474542,0.0289592979473758,0.0397186311787072,0.037629716981132,0.0476824946846207,0.0267379143358102,0.0377883260401985,0.0441769030390737,0.0522908471020193,0.0827185792349725,0.0988766719318984,0.0492804217725847,0.0574548405781483,0.0464108039036856,0.0458594585347076
Multiple/KDD21-96-P,0.0381349782293177,0.0149154885692546,0.025129938209641,0.1836700336700335,0.4326007326007324,0.0382515602104754,0.0086187705419912,0.0398924098015816,0.015625,0.016822033898305,0.023650047785919,0.0363685472163137,0.7935267857142854,0.0504661016949152,0.0735315305330819,0.0290264423076922,0.0148404152143871,0.1094796331840477,0.0468154761904761,0.0542481931958399,0.0677971602162624,0.1018965517241378,1.0,0.0248886138613861,0.0795263157894736,0.0227272727272727,0.3177207792207791,0.0539177310808953,0.0327550663836665,0.0325608105119639,0.0317621424314659,0.0341293541046734,0.0683720930232557,0.132797619047619,0.015024265875886,0.6666666666666666,0.0586606334841628,0.0268199233716475,0.0260800117233293,0.0303419711129991,0.0331810490693739,0.0293450293654677,0.0325489159175039,0.0273051451859397,0.104659498207885,0.0402243589743588,0.0434681913852902,0.0270891422637046,0.2405984962406013,0.0769230769230769,0.0405797101449274,0.0261223188172629,0.0437790538692917,0.0449965493443753,0.1170738045738044,0.024675041226113,0.0588235294117647,0.0242865997496629,0.0302268555179611,0.2857142857142857,0.0572797693122908,0.0300740902590179,0.0344886450495133,0.0254958057864576,0.0270823028691085
Multiple/KDD21-96-R,0.0384999999999999,1.0,0.0459423076923075,0.2212222222222221,0.3433846153846152,0.138926605504587,0.064,0.1828518518518517,0.196821862348178,0.0289999999999999,0.078108108108108,0.22,1.0,0.1729466248037676,0.2,0.1909999999999996,1.0,0.33425,0.2919629629629628,0.2516229838709675,0.1589615384615384,0.0476187782805429,0.7537162162162161,0.25,0.2322361111111109,0.05,0.7848888888888887,0.1919310897435894,0.2773333333333332,0.2712652582159623,0.2021999999999999,0.210616077416882,0.2109999999999996,0.6552680412371132,1.0,0.2205212574566802,0.0333333333333333,0.0277387096774193,0.2660806451612901,0.2625845070422532,0.25,0.2608244442990205,0.2412692307692307,0.2,0.1565617433414042,0.283142857142857,0.2780040322580643,0.2340123456790123,0.7924909628655931,0.1938775510204081,0.2240092592592591,0.1926426354738599,0.2550925925925923,0.2337329812206572,0.2052756410256408,0.0496739130434782,0.05,0.334516129032258,0.3318333333333332,0.2341774193548384,0.8226923076923076,0.2591290322580644,0.5599903846153845,0.4315322580645161,0.35
Multiple/KDD21-96-R-A-P,0.0344625771096164,0.0382534480651311,0.0511679336950584,0.0620967364062889,0.1409499769227655,0.0448319747395454,0.0316605524795453,0.0448319747395454,0.0404960723276233,0.0509299233536612,0.0438524462531749,0.0495808123703951,0.8459326824639292,0.045575540585289,0.0455660397489521,0.0380219926333528,0.0688502921932782,0.0569721324528236,0.0434509147270905,0.0371220611035065,0.0395781697868616,0.1095073087957039,0.5625864976950974,0.0146749460517417,0.0425902709190526,0.0568829965931831,0.2350889125384329,0.048032447941734,0.0430044721151384,0.0426254293904737,0.0418193606435104,0.0375100508980313,0.0429273101404591,0.0737175995791877,0.0412185497421243,0.1261972328957424,0.0507056413176976,0.0497107297944456,0.0456902438265546,0.0432806872811609,0.047924758254204,0.0425029518493281,0.0419268201311906,0.0439230649214643,0.0475557872470332,0.0471885007803257,0.0476850079070958,0.0496993992596223,0.2569349897709304,0.0499775548438113,0.043425614384515,0.0381873627113432,0.0427923079351611,0.0436188388378592,0.0515271977321675,0.0472743274491319,0.0732052665389774,0.0334482375433611,0.0647598410198005,0.0879337905216129,0.0775524643438069,0.054058536681694,0.0859305296399877,0.0577742839191197,0.0598924662516859
