Dataset-Quantity-metrics,ATrans,AE,CALF (few),CALF (full),CATCH,Chronos (few),Chronos (full),Chronos (zero),ConAD,DAGMM,DC,DLin,DUET,Dada (few),Dada (full),Dada (zero),DP,DualTF,EIF,GPT4TS (few),GPT4TS (full),IF,KMeans,LLMMixer(few),LLMMixer(full),LSTM,Modern,Moment (few),Moment (full),Moment (zero),NLin,Patch,Timer (few),Timer (full),Timer (zero),TimesFM (few),TimesFM (full),TimesFM (zero),TsNet,TTM (few),TTM (full),TTM (zero),Torsk,TranAD,UniTS (few),UniTS (full),UniTS (zero),UniTime (few),UniTime (full),VAE,CBLOF,HBOS,iTrans,KNN,LODA,LOF,OCSVM,PCA
contact-text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,
publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bib,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movement/Daphnet-96-F1,0.0327556110678373,0.0768014923003165,0.1823647507709113,0.2321925578481521,0.13904032276403,0.160985064116182,0.1702418649237413,0.160985064116182,0.0614852939485751,0.0971848739348689,0.0245733815391704,0.1678891819140138,0.1531311302130296,0.1065182348737422,0.1039729397351938,,0.1807682845224938,0.1527531505017458,0.0821323941184113,0.1714727071660717,0.1560041822359063,0.0826730847044832,0.223601143018363,0.1553855947802137,0.1455612060958505,0.0642646513142803,0.1389716148611847,0.1534930145319959,0.0996149002493174,0.1521150658257971,0.1680659069396275,0.1546151657350046,0.1031197461089777,0.098335877556462,0.1308496370983035,0.1421870689712895,0.1372264148406841,0.1599845421599253,0.1514204357957539,0.137667930064525,0.1474255294016652,0.1367485214573933,0.1538847804223191,0.1530334945699145,0.1895041808149367,0.1493697423367528,0.1961662541858366,0.0959402503852462,0.0959402503852462,0.0583928388576529,0.1276301436207325,0.1474898232944146,0.1303678810281136,0.1307651119073528,0.0747194100678101,0.1403656921983556,0.154377244608482,0.1454227894207254
Movement/Daphnet-96-P,0.1058049242137257,0.1481955221837642,0.2344541169153045,0.2294394873313532,0.2301162734309193,0.2350200968862714,0.2347032498598944,0.2350200968862714,0.1314329177732408,0.1021061376025529,0.090549214754437,0.2310906941775011,0.2275513459273034,0.2066599948097918,0.1797081801639495,,0.171323378430435,0.1448976360760196,0.2229605460803561,0.2361804228674188,0.2420269871322971,0.2234780007335007,0.182783096615563,0.2387776626071242,0.2136051530841793,0.1637269251455616,0.2249476253582713,0.2363291956548297,0.1915912053331002,0.2494525369095681,0.2054655228581443,0.2317249764584271,0.2051249478051931,0.1988223521034481,0.2316863188278312,0.218860311571115,0.159107400936648,0.2288146222459378,0.2405410052338995,0.2360502043567663,0.2284719296930592,0.2369863470088917,0.1093294822197498,0.1907034362772749,0.2353325960692993,0.2297652560386759,0.2300248588122711,0.1948734964772063,0.1948734964772063,0.1776948374516644,0.0945537837429076,0.1114276110923728,0.2180493647468313,0.0739507882254025,0.0902264911374276,0.0789619279133766,0.0854676948385553,0.105614984946247
Movement/Daphnet-96-R,0.0267913929732155,0.0960741829768422,0.1979511762807284,0.3055071483906877,0.1826253185729869,0.1856367487044307,0.2002657062399284,0.1856367487044307,0.2426457573970808,0.5935832423634079,0.0146676592861002,0.2183940207882394,0.2252023494732173,0.096949312450352,0.0821652691774871,,0.4847859925655573,0.1943885278138368,0.0893878265101952,0.2368387940553289,0.2452714451196251,0.062627805742697,0.3683638750837995,0.2032818351368067,0.1717033527346448,0.0769223073177287,0.2005720560574215,0.2088498070509374,0.1198820014074781,0.1943892211751321,0.2016767714655105,0.233542713849349,0.1072427031848247,0.1158999019975312,0.1516885023948466,0.1615300681999694,0.2164053189656301,0.1875128320599225,0.2184044794040411,0.1592867037659843,0.2192490003597893,0.1525691086189158,0.287895945438868,0.2065857236104767,0.2160866892375428,0.2094486816699458,0.2503118428928577,0.103237919890006,0.103237919890006,0.0724863693889315,0.4306692054647721,0.3829614773839256,0.1924477955976797,0.6807499766168302,0.1957560539558567,0.7500210741370841,1.0,0.3971202397980665
Movement/Daphnet-96-R-A-P,0.1308557321529034,0.2311900734225666,0.3174980777913583,0.3130513911588566,0.300842559500448,0.2922313405278341,0.2922313405278341,0.2922313405278341,0.1356927774294008,0.3858198886405773,0.1436572332153476,0.3106285259657834,0.299559913879344,0.2418759303195285,0.2740106191611903,,0.3306641315532207,0.2256755579445313,0.2026627783848296,0.310370828522548,0.3143617649275617,0.3413627312172075,0.2586037634050066,0.2982675293583559,0.2997225964838946,0.2488270892385499,0.2966497242942058,0.2868517746181124,0.2751701747599427,0.3204133634392357,0.2976517817141082,0.3185079102887873,0.2589788129466062,0.2584922654789562,0.2791271434348422,0.2946815225809082,0.0995830609133192,0.2881386130180904,0.3346306980476499,0.2866924204093658,0.2928800975156558,0.292784084424822,0.1664606258826781,0.2597085182020501,0.3083760820626419,0.2965475879066532,0.3100941997669126,0.2739984418241629,0.31478954338838,0.2371985535469885,0.2151617473229506,0.2264752584012352,0.319510701642166,0.2104123661847526,0.1494441865769931,0.1225478885978489,0.571801993566653,0.2471787207336887
Movement/Daphnet-96-R-A-R,0.5126965770378947,0.6202010373834207,0.8242341159431582,0.8167122660651109,0.7088341712578815,0.7999469085719797,0.7999469085719797,0.7999469085719797,0.5814644602745709,0.5835518190396776,0.5238964712632626,0.8108818188215386,0.7978246599920898,0.6849821884900428,0.7083568411389524,,0.8452069892399782,0.724467773268474,0.6415513857657364,0.8117136573756109,0.8144589386591253,0.8446807404217365,0.6558006829741558,0.8100125853178949,0.8022762252965242,0.6452819239395303,0.7969127145917904,0.7860634653152025,0.7721849135456221,0.8301076784957087,0.7968888922379007,0.8210088750273157,0.757994415641842,0.75801989419912,0.7800244376849531,0.7971480574943264,0.2398215505100306,0.7978015476212661,0.83014275432886,0.7902774507901199,0.7953048565983879,0.7923229063112646,0.613036144377891,0.6679042775405978,0.8102197684182233,0.7976538093829456,0.8144008845432076,0.7652399183438489,0.8159525190161262,0.6319571151039935,0.6247063610486053,0.6513973298286384,0.8266079838659968,0.6173782916501854,0.5926711180570715,0.5425023573058402,0.5182576022194627,0.6403150443586018
Movement/Daphnet-96-R-F1,0.126099595064394,0.1350499025423447,0.1816828871007502,0.1979313939006265,0.1854005420400599,0.1909548931135749,0.1890873096271243,0.1909548931135749,0.1229607227103725,0.0632626886387507,0.1178220439745283,0.1796682052121043,0.1846121383136897,0.1710015428636444,0.1356886152446283,,0.1397227169960808,0.1347596140175544,0.160996263289138,0.1957174838828132,0.195498181803058,0.1818811647984538,0.2047314554399283,0.1861120178437185,0.1794414645252748,0.1323663469957228,0.1851629297943751,0.1880427094930602,0.1552104437668064,0.1914885002958493,0.1750757318870377,0.1872485183401441,0.1690880618103234,0.1700614825784617,0.188995890345541,0.1865606364775789,0.1582874143354702,0.1950599911845015,0.1866333944542462,0.1868531843059066,0.1902361910739511,0.1879382641734728,0.150986546586195,0.1906341987238912,0.1841496019127135,0.1905669469263125,0.1788961156109032,0.1593592713858629,0.1593592713858629,0.1362030148751707,0.112170992436664,0.1240125313250645,0.1683849458100801,0.1463293488054595,0.1404651760891689,0.1277571943357765,0.0157116139263145,0.1093622222387746
Movement/Daphnet-96-R-P,0.1130483123394707,0.1481955221837642,0.2258583405721452,0.2083893202292997,0.2301928447844571,0.2421367045603985,0.2233939563214541,0.2421367045603985,0.1152160277610394,0.0716124256252666,0.0901286111062817,0.2158774195737149,0.2251654004452215,0.2054018900598311,0.1690062751034547,,0.15308449841891,0.122444431297984,0.2479722486552858,0.2327258794302649,0.243584952442273,0.2234780007335007,0.1676224885187145,0.2242338731001106,0.2231082899414946,0.1637269251455616,0.2386069976841338,0.2311011021518496,0.1859102378403767,0.2369457070475576,0.2011296475531653,0.2284429445468482,0.2181525886554038,0.2205254012412465,0.2569797415714798,0.2368167708284966,0.1770067127862317,0.244135493120437,0.2317870523646195,0.2511416456113296,0.2331904268129876,0.2527024579937378,0.1038187587355923,0.2245562542269907,0.2215484054598126,0.2369606555900222,0.2129239403295934,0.2015513027898054,0.2015513027898054,0.1776948374516644,0.1170195657845832,0.1267020424194381,0.2022444646473209,0.127118555818618,0.1547345693842201,0.1285019599558721,0.0079310581826681,0.1127662533185612
Movement/Daphnet-96-R-R,0.1853582414696081,0.1643684873116619,0.1693325976946795,0.215019495179192,0.181632393289156,0.1969153214148469,0.197625418425129,0.1969153214148469,0.3230146702175034,0.6293086534062919,0.1834455501302792,0.1776276243039653,0.1840627252774054,0.1748026471234235,0.121399810271366,,0.4110618918689521,0.1827322730842972,0.1520138368496274,0.2123329781801553,0.1966128530147243,0.176768040096837,0.3798873429469325,0.181744869202427,0.1834783665110481,0.146767209055723,0.1766325728322962,0.183454040409336,0.1682104121935692,0.1847038188632385,0.1821146941546238,0.1909036675613964,0.1709396609478672,0.1740559903955807,0.1807125788313854,0.1849647752887045,0.1641113635463795,0.1931242185923136,0.1836497006754622,0.1770561419395838,0.1891286825228823,0.1729876692751248,0.3045484790054477,0.1910935564973843,0.1648234920721459,0.1837920293189501,0.1793599741168811,0.1637801560784098,0.1637801560784098,0.1454271297864884,0.4383942167837552,0.3266592903648178,0.1886580701329273,0.4843843844019563,0.2936575003347967,0.4335266254916717,1.0,0.4130604159181488
Movement/Daphnet-96-V-PR,0.128005615580956,0.2228868010573803,0.3080174099591314,0.3039410141790989,0.2911309398230828,0.2833581578279528,0.2833581578279528,0.2833581578279528,0.1319622373506494,0.380680922180216,0.1397060673312259,0.3010346888463342,0.2901400646710361,0.2330614349963052,0.2649097189295221,,0.3205690113148808,0.2211644404336,0.1964678823020892,0.3014316770836008,0.3048331280640342,0.3306851206430578,0.2510075020761611,0.2886899161415543,0.2903121719490818,0.2407992807513269,0.2874864044015001,0.2777591533514371,0.2664529328527376,0.3098153005723038,0.2884398290302402,0.3088685681214371,0.2510242523113443,0.2505537507131169,0.2703758405965741,0.2856070703813713,0.0956296087053023,0.2802297051695618,0.3245367750553478,0.2776795511944137,0.2834245610243848,0.2832842512580292,0.1611363191902342,0.2506360608501418,0.2987177126245102,0.287224073193013,0.300222148870289,0.2654667761267095,0.3050440176740962,0.2293406866281108,0.2080372249366123,0.2188042344592577,0.3098069721030181,0.2033807045382488,0.145115123695085,0.1191166806089025,0.5699611750024668,0.2387442134684705
Movement/Daphnet-96-V-ROC,0.5113475486924,0.6096008930364109,0.8158064930953441,0.8081027947119103,0.7026179628326951,0.7922786240694969,0.7922786240694969,0.7922786240694969,0.5703239870018281,0.5771649455786775,0.522032967128541,0.8030793231804169,0.7898538544929361,0.6729277452172663,0.699379044528101,,0.8374110327994696,0.7129681064128998,0.6338922574734456,0.8042842151430679,0.8069356391966991,0.8366062341539059,0.6458964002884411,0.8019515451653101,0.794247814841936,0.6363207941785689,0.7892256701005261,0.7786165048581617,0.7644860680125225,0.8221317759714512,0.7886655040959766,0.8133002316188355,0.750226730959778,0.7502796626227595,0.7723064835322374,0.7896206577731617,0.2363297364126671,0.7909696582669538,0.8225612260790091,0.782264946223399,0.7867503811856302,0.7832100464863725,0.599827928393136,0.6579902515956907,0.8021858777628333,0.7899395679100294,0.8063049619469501,0.7576377751400544,0.8084413146077859,0.6214724322787265,0.6148889727075881,0.6415722126473878,0.818481245394468,0.6074039466926694,0.5808237163452239,0.532480997235288,0.5172930091615766,0.6301913983155648
